NAME1,ADDRESS,TK,NAME,TITLE,TITLE_1, 
Επισκοπή Τεγέας,,,Επισκοπή Τεγέας,ΛΘ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Επιτάλιο,,,Επιτάλιο,Ζ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Ερέτρια,,34008,Ερέτρια,ΙΑ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Ερμήτσι,Καρδίτσα,43100,Θεσσαλία,ΛΔ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Οικιστικό σύνολο, 
Ευρωπός,,,Ευρωπός,ΙΣΤ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Νεκροταφείο, 
Ευρωπός,,,Ευρωπός,ΙΣΤ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ακρόπολη, 
Εύτρηση,,,Λεύκτρα,Θ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Διαμονής, 
Εφύρα,,,Μεσοπόταμος,ΛΓ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ακρόπολη, 
Εχίνος,,35300,Αχινός,ΙΔ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Νεκρόπολη, 
Εχίνος,,35300,Αχινός,ΙΔ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ακρόπολη, 
Ζαγορά Άνδρου,,,Ζαγανιάρι Άνδρου,ΚΑ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Προϊστορικός οικισμός, 
Ζάκρος,,72300,Ζάκρος,ΚΔ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ακρόπολη, 
Ήλιδα,Γαστούνη,27300,Ήλιδα,Ζ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Ηραίον Άργους,,,Άργος,Δ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ιερό, 
Θέατρο Ασκληπιείου Επιδαύρου,,,Λυγουριό,Δ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Θέατρο, 
Θερμοπύλες,,35009,Θερμοπύλες,ΙΔ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Χώρος μάχης, 
